Hong Kong Exchanges and Clearing Limited 
          今天截至上午收市主板之證券賣空成交量
          賣空紀錄                         日期 : 14 APR 2025

                                          成交量
  代號   股票名稱                    股數           金額 
   2186  綠葉製藥　　　　       1,940,500      3,624,175
   2190  歸創通橋－Ｂ　　          21,500        359,440
   2192  醫脈通　　　　　         154,000      1,823,210
   2196  復星醫藥　　　　          71,500      1,009,940
   2202  萬科企業　　　　       3,261,500     18,855,237
   2208  金風科技　　　　         328,000      1,469,466
   2228  晶泰控股　　　　         468,000      2,278,190
   2232  晶苑國際　　　　         100,500        440,690
   2233  西部水泥　　　　       1,034,000      1,524,160
   2238  廣汽集團　　　　       1,786,000      5,224,540
   2252  微創機器人－Ｂ　         329,500      5,709,960
   2255  海昌海洋公園　　           4,000          2,920
   2268  藥明合聯　　　　         492,000     17,591,050
   2269  藥明生物　　　　      11,060,000    229,917,575
   2273  固生堂　　　　　          81,300      2,506,320
   2276  康耐特光學　　　          80,000      1,922,500
   2282  美高梅中國　　　         352,800      3,364,460
   2285  泉峰控股　　　　          66,600        794,482
   2313  申洲國際　　　　       1,221,300     61,957,520
   2314  理文造紙　　　　         409,000        854,080
   2318  中國平安　　　　       6,987,000    305,441,225
   2319  蒙牛乳業　　　　       1,867,000     37,080,170
   2328  中國財險　　　　       2,220,000     31,385,360
   2331  李寧　　　　　　       3,671,500     56,955,750
   2333  長城汽車　　　　       5,671,500     69,325,520
   2338  濰柴動力　　　　       1,491,000     22,952,300
   2342  京信通信　　　　       1,302,000      1,943,340
   2343  太平洋航運　　　       5,029,000      8,452,970
   2356  大新銀行集團　　          51,200        394,128
   2357  中航科工　　　　       1,607,000      5,711,510
   2359  藥明康德　　　　       1,526,400     81,560,935
   2367  巨子生物　　　　         320,600     23,502,100
   2378  保誠　　　　　　           4,300        329,537
   2380  中國電力　　　　         654,000      1,906,820
   2382  舜宇光學科技　　       3,451,000    232,857,875
   2386  中石化煉化工程　         227,000      1,198,770
   2388  中銀香港　　　　       1,545,500     45,383,525
   2400  心動公司　　　　         151,000      4,740,100
   2411  百果園集團　　　           9,000          8,775
   2423  貝殼－Ｗ　　　　       2,011,400     98,848,435
   2429  友寶在線　　　　           8,000         19,430
   2443  汽車街　　　　　          13,800         55,018
   2460  華潤飲料　　　　         256,600      3,671,184
   2469  粉筆　　　　　　         202,500        448,075
   2473  喜相逢集團　　　          82,500        515,825
   2487  科笛－Ｂ　　　　           1,400          6,580
   2490  樂艙物流　　　　           1,200         23,552
   2498  速騰聚創　　　　         695,700     22,975,610
   2507  西銳　　　　　　           2,300         75,935
   2517  鍋圈　　　　　　          97,600        233,432
   2533  黑芝麻智能　　　          89,400      1,628,120
   2550  宜搜科技　　　　             500          1,705
   2555  茶百道　　　　　          11,800         96,326
   2556  邁富時　　　　　             200          7,740
   2588  中銀航空租賃　　          21,800      1,276,595
   2600  中國鋁業　　　　       3,984,000     17,191,120
   2601  中國太保　　　　         403,200      8,916,070
   2602  萬物雲　　　　　          18,500        403,690
   2607  上海醫藥　　　　         230,000      2,509,518
   2611  國泰君安　　　　         413,600      4,386,160
   2618  京東物流　　　　         417,200      5,048,462
   2628  中國人壽　　　　       6,987,000     95,534,220
   2638  港燈－ＳＳ　　　           1,000          5,150
   2666  環球醫療　　　　         231,500      1,185,115
   2669  中海物業　　　　          95,000        510,000
   2688  新奧能源　　　　         577,200     34,379,290
   2689  玖龍紙業　　　　         399,000      1,199,990
   2696  復宏漢霖　　　　          30,400        906,375
   2727  上海電氣　　　　         892,000      2,288,880
   2777  富力地產　　　　         569,200        589,052
   2778  冠君產業信託　　         121,000        228,210
   2799  中信金融資產　　       3,709,000      2,729,340
   2800  盈富基金　　　　      45,208,500    981,530,240
   2807  ＧＸ中國機智　　             550         24,646
   2820  ＧＸ中國生科　　           3,900        199,602
   2822  南方Ａ５０　　　       2,253,800     27,813,458
   2823  安碩Ａ５０　　　       1,190,300     15,735,953
   2826  ＧＸ中國雲算　　           3,100        165,488
   2828  �琤秅什磪禶~　　         726,800     59,082,060
   2834  安碩納指一百　　             200         71,200
   2839  華夏Ａ５０　　　           3,000         65,640
   2840  ＳＰＤＲ金　　　           3,435      7,959,635
   2845  ＧＸ中國電車　　           3,450        275,379
   2846  安碩滬深三百　　           5,100        136,066
   2858  易鑫集團　　　　       1,925,500      3,530,310
   2866  中遠海發　　　　         679,000        590,680
   2869  綠城服務　　　　         210,000        919,520
   2877  神威藥業　　　　          59,000        457,230
   2883  中海油田服務　　         602,000      3,491,220
   2888  渣打集團　　　　          16,700      1,625,657
   2899  紫金礦業　　　　      27,526,000    476,610,600
   2961  經緯天地　　　　           8,000         71,360
   3009  博時以太幣　　　         260,500        324,624
   3010  安碩亞洲除日　　          10,700        567,770
   3032  �琤肮鴔煍荎潳唌@         798,200      4,001,258
   3033  南方�琤肮鴔煄@　     553,549,600  2,737,518,385
   3034  南方納指一百　　             100            815
   3037  南方�瓻�ＥＴＦ　             500         10,850
   3042  華夏比特幣　　　           3,500         36,365
   3050  ＧＸ中國全球領導           2,950        129,857
   3066  ＦＡ南方比特幣　          93,200      2,738,216
   3067  安碩�琤肮鴔煄@　          48,800        514,755
   3070  平安香港高息　　          19,200        606,860
   3110  ＧＸ�琤肭牧悎妓v         204,000      4,861,882
   3111  易方達Ａ５０　　             300            644
   3115  安碩�琤肏�數　　           7,900        615,396
   3133  南方滬深三百　　          85,100        716,630
   3141  華夏亞投債　　　           6,400         90,752
   3147  Ｘ南方中創業　　             400          2,876
   3160  華夏日股對沖　　           1,200         22,854
   3175  Ｆ三星原油期　　         181,000      1,076,045
   3188  華夏滬深三百　　         319,000     13,170,552
   3189  易方達白酒　　　         383,700        623,875
   3191  ＧＸ中國半導　　          22,650        923,152
   3199  工銀南方國債　　              20          2,270
   3306  江南布衣　　　　          57,000        792,850
   3309  希瑪醫療　　　　           6,000          8,520
   3311  中國建築國際　　         428,000      4,674,480
   3316  濱江服務　　　　           5,000        121,725
   3319  雅生活服務　　　         329,500        831,922
   3320  華潤醫藥　　　　         211,500      1,055,780
